epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,2252.47,0.39765,0.40413,0.85248,0.95362,0.77098,0.88093,0.80374,0.45733,0.62068,0.84469,0.000218621,0.000218621,0.000218621
151,2267.4,0.41289,0.41072,0.86136,0.93896,0.75081,0.88828,0.80938,0.45856,0.65558,0.83726,0.000214497,0.000214497,0.000214497
152,2282.57,0.40625,0.41711,0.86608,0.86955,0.80147,0.87429,0.80049,0.45909,0.66467,0.83884,0.000210374,0.000210374,0.000210374
153,2297.66,0.40732,0.40854,0.86696,0.82516,0.80377,0.85623,0.78069,0.46116,0.68421,0.83508,0.000206251,0.000206251,0.000206251
154,2312.84,0.40304,0.3843,0.85466,0.85081,0.77234,0.85933,0.78321,0.46736,0.6875,0.83363,0.000202127,0.000202127,0.000202127
155,2328.01,0.4059,0.39902,0.85432,0.90766,0.81411,0.88713,0.8041,0.47383,0.60821,0.84014,0.000198004,0.000198004,0.000198004
156,2343.11,0.40005,0.39943,0.87006,0.86366,0.78056,0.89298,0.81328,0.46936,0.62181,0.84627,0.000193881,0.000193881,0.000193881
157,2358.15,0.40145,0.38892,0.85397,0.86369,0.8299,0.89284,0.82004,0.45194,0.64076,0.84589,0.000189757,0.000189757,0.000189757
158,2373.17,0.39341,0.38214,0.86378,0.86689,0.81215,0.88131,0.80489,0.44665,0.61755,0.84244,0.000185634,0.000185634,0.000185634
159,2388.26,0.38936,0.37914,0.85179,0.89881,0.78463,0.87439,0.78887,0.46602,0.61993,0.84674,0.000181511,0.000181511,0.000181511
160,2403.22,0.3967,0.3878,0.85495,0.86598,0.83197,0.88451,0.80955,0.45307,0.59914,0.84392,0.000177387,0.000177387,0.000177387
161,2418.04,0.39035,0.37734,0.8567,0.87309,0.82296,0.86703,0.79462,0.45268,0.60993,0.8386,0.000173264,0.000173264,0.000173264
162,2433.22,0.38851,0.37611,0.85343,0.87396,0.80868,0.87458,0.79674,0.46321,0.5732,0.84449,0.000169141,0.000169141,0.000169141
163,2448.3,0.38321,0.37031,0.8495,0.84039,0.82682,0.88475,0.80507,0.46779,0.58829,0.84779,0.000165017,0.000165017,0.000165017
164,2463.49,0.38059,0.37021,0.85478,0.88119,0.78012,0.88251,0.81198,0.46162,0.58183,0.84864,0.000160894,0.000160894,0.000160894
165,2478.89,0.38909,0.37411,0.853,0.87281,0.78416,0.87583,0.80204,0.45688,0.59941,0.84342,0.000156771,0.000156771,0.000156771
166,2494.03,0.38971,0.38618,0.85586,0.8237,0.8166,0.87418,0.79934,0.45998,0.59944,0.84044,0.000152647,0.000152647,0.000152647
167,2508.92,0.38163,0.36925,0.8533,0.79979,0.8048,0.87034,0.80071,0.44388,0.62084,0.83444,0.000148524,0.000148524,0.000148524
168,2523.81,0.37862,0.37698,0.85422,0.85472,0.7599,0.8631,0.79996,0.44088,0.60379,0.83508,0.000144401,0.000144401,0.000144401
169,2538.71,0.37635,0.37281,0.85096,0.85723,0.81094,0.87323,0.80916,0.44322,0.58157,0.84048,0.000140277,0.000140277,0.000140277
170,2553.78,0.37991,0.37315,0.85494,0.92367,0.78407,0.8793,0.80433,0.44356,0.57051,0.84147,0.000136154,0.000136154,0.000136154
171,2568.79,0.3747,0.35952,0.8533,0.90601,0.7801,0.87482,0.80311,0.43883,0.58302,0.8382,0.000132031,0.000132031,0.000132031
172,2583.87,0.37131,0.35526,0.85405,0.89886,0.77692,0.88115,0.80625,0.43615,0.56637,0.83354,0.000127907,0.000127907,0.000127907
173,2598.85,0.36724,0.37489,0.8475,0.92977,0.79683,0.88881,0.82017,0.44464,0.56891,0.84143,0.000123784,0.000123784,0.000123784
174,2614.14,0.36488,0.35979,0.84909,0.86551,0.80152,0.87632,0.80302,0.44,0.57026,0.83489,0.00011966,0.00011966,0.00011966
175,2629.3,0.36921,0.37573,0.84691,0.88,0.82091,0.88677,0.81431,0.44097,0.55611,0.83383,0.000115537,0.000115537,0.000115537
176,2644.26,0.37198,0.35981,0.85045,0.9003,0.75933,0.8747,0.80392,0.43577,0.56588,0.83435,0.000111414,0.000111414,0.000111414
177,2659.16,0.36061,0.36629,0.84161,0.91622,0.7755,0.88422,0.81282,0.43357,0.54883,0.83219,0.00010729,0.00010729,0.00010729
178,2674.41,0.35831,0.34531,0.84509,0.85411,0.81745,0.88005,0.806,0.43507,0.57582,0.8338,0.000103167,0.000103167,0.000103167
179,2689.43,0.36319,0.36874,0.85252,0.89736,0.78493,0.8812,0.80764,0.43754,0.55752,0.83276,9.90437e-05,9.90437e-05,9.90437e-05
